,Country Name,Country Code,Year,Access to electricity (% of population),Age dependency ratio (% of working-age population),"Automated teller machines (ATMs) (per 100,000 adults)","Contributing family workers, total (% of total employment) (modeled ILO estimate)","Employers, total (% of total employment) (modeled ILO estimate)",Employment in agriculture (% of total employment) (modeled ILO estimate),Employment in industry (% of total employment) (modeled ILO estimate),Exports of goods and services (% of GDP),GDP growth (annual %),"Inflation, consumer prices (annual %)","Labor force, total","Literacy rate, adult total (% of people ages 15 and above)","Population, total",Tax revenue (% of GDP),"Total employment, total (ages 15+)"
10,Afghanistan,AFG,2005,23.0,99.01183094,0.060852259,31.65099907,0.851000011,71.75900269,6.566999912,27.39525556,11.17527024,12.68626872,6969404.0,81.3130004337143,25070798.0,16.72065298935484,6378991.0
11,Afghanistan,AFG,2006,28.2286129,99.63202905,0.118134128,30.71699905,0.893999994,70.60500336,6.714000225,26.47029266,5.554137623,7.254895561,7133722.0,81.3130004337143,25893450.0,6.883364339,6487677.0
12,Afghanistan,AFG,2007,33.74868011,100.2310231,0.20881807,29.86300087,0.938000023,69.3789978,7.09100008,17.82371427,13.74020499,8.482889268,7264788.0,81.3130004337143,26616792.0,5.229755775,6697893.0
13,Afghanistan,AFG,2008,42.4,100.6564961,0.302449532,28.86100006,0.977999985,67.2460022,6.962999821,17.99297469,3.611368392,30.55494061,7390836.0,81.3130004337143,27294031.0,6.039428306,6743809.0
14,Afghanistan,AFG,2009,44.8548851,100.7408126,0.452438934,28.00300026,1.087000012,67.03700256,6.105000019,14.70758895,21.02064874,-8.283078395,7549815.0,81.3130004337143,28004331.0,8.434997714,7043625.0
15,Afghanistan,AFG,2010,42.7,100.4064115,0.532063581,26.34199905,1.205000043,64.49900055,6.110000134,10.02384975,8.433290482,0.892536936,7766590.0,81.3130004337143,28803167.0,9.123651121,7159144.0
16,Afghanistan,AFG,2011,43.22201891,98.73075897,0.620062869,25.93899918,1.235999942,62.77099991,6.374000072,6.107274005,6.113685169,10.20166014,8126681.0,31.74111938,29708599.0,8.854568097,7457762.0
17,Afghanistan,AFG,2012,69.1,96.52858984,0.642222417,25.30500031,1.284000039,61.68299866,6.297999859,5.516850325,14.43474129,7.218257761,8560749.0,81.3130004337143,30696958.0,7.471638846,7881429.0
18,Afghanistan,AFG,2013,67.259552,94.00173412,0.712434095,25.07900047,1.317000031,61.51300049,6.355000019,6.307895036,3.900574875,7.654316567,9051268.0,81.3130004337143,31731688.0,7.081350026,8286322.0
19,Afghanistan,AFG,2014,89.5,91.37620486,0.758811362,25.3409996,1.302000046,61.63000107,6.493000031,6.567700049,2.690521948,4.604334009,9567711.0,81.3130004337143,32758020.0,6.842385662,8734840.0
20,Afghanistan,AFG,2015,71.5,88.76872734,0.929836663,25.71999931,1.264000058,61.13199997,6.723999977,7.002116918,1.310040404,-1.533846583,10087598.0,81.3130004337143,33736494.0,7.553269089,9193492.0
21,Albania,ALB,1995,100.0,64.20407396,61.014200824327816,40.95600128,1.66900003,70.25499725,15.25500011,12.47537426,13.29999999,7.793218538,1357669.0,81.3130004337143,3187784.0,13.42276821,1033693.0
22,Albania,ALB,1996,100.0,63.15929342,61.014200824327816,33.61500168,2.628999949,66.65000153,14.77600002,11.19576721,9.100000008,12.72547781,1353847.0,81.3130004337143,3168033.0,8.553602234,1037080.0
23,Albania,ALB,1997,100.0,62.24263416,61.014200824327816,24.10099983,2.224999905,64.60900116,16.13599968,9.745654295,-10.83785574,33.18027438,1368603.0,81.3130004337143,3148281.0,9.479292857,1051155.0
24,Albania,ALB,1998,100.0,61.41261643,61.014200824327816,33.24100113,2.592000008,65.23899841,14.70100021,10.84430291,9.00885254,20.64285887,1363892.0,81.3130004337143,3128530.0,13.70163251,1049752.0
25,Albania,ALB,1999,100.0,60.55838436,61.014200824327816,33.9679985,2.765000105,63.45500183,14.68400002,15.81673104,13.50117338,0.389437654,1354626.0,81.3130004337143,3108778.0,16.72065298935484,1039118.0
26,Albania,ALB,2000,100.0,59.58581398,61.014200824327816,30.32500076,2.703999996,61.50600052,16.03199959,17.86708402,6.666620499,0.050018136,1350697.0,81.3130004337143,3089027.0,16.72065298935484,1043704.0
27,Albania,ALB,2001,100.0,58.56796352,61.014200824327816,30.26000023,2.801000118,59.99300003,16.87800026,18.43157108,7.940331425,3.10758827,1338328.0,98.71298218,3060173.0,16.72065298935484,1034794.0
28,Albania,ALB,2002,100.0,57.44588622,61.014200824327816,28.21699905,2.713999987,58.63100052,17.64999962,19.59887427,4.231371018,7.770525834,1338094.0,81.3130004337143,3051010.0,16.16084313,1050567.0
29,Albania,ALB,2003,100.0,56.24238929,61.014200824327816,28.47599983,2.724999905,57.52700043,18.79400063,20.35591091,5.773490561,0.484002612,1319856.0,81.3130004337143,3039616.0,16.79084231,1053869.0
30,Albania,ALB,2004,100.0,55.02213732,4.225089756,28.26000023,2.73300004,55.88499832,19.32299995,21.98293641,5.709556596,2.280019169,1301290.0,81.3130004337143,3026939.0,17.64535942,1056414.0
31,Albania,ALB,2005,100.0,53.82131412,9.257525917,28.02400017,2.700999975,53.96300125,19.86700058,22.82407356,5.720819947,2.366581957,1282212.0,81.3130004337143,3011487.0,16.72065298935484,1058291.0
32,Albania,ALB,2006,100.0,52.61447308,13.86881387,27.99500084,2.690000057,52.31600189,20.51000023,24.93399552,5.431012739,2.370728319,1266919.0,81.3130004337143,2992547.0,16.72065298935484,1063701.0
33,Albania,ALB,2007,100.0,51.62142045,19.36159077,27.76399994,2.683000088,47.9129982,18.69799995,28.08422195,5.9,2.932682482,1250632.0,81.3130004337143,2970017.0,16.72065298935484,1081808.0
34,Albania,ALB,2008,100.0,50.79122424,28.62652837,28.78499985,1.815000057,47.22499847,20.83699989,25.30240492,3.760853683,3.359242418,1234727.0,95.93863678,2947314.0,16.72065298935484,1073591.0
35,Albania,ALB,2009,100.0,50.10562445,32.94143585,28.47100067,1.495000005,44.04999924,19.94300079,25.24073764,3.352610243,2.280502222,1226713.0,81.3130004337143,2927519.0,16.72065298935484,1057915.0
36,Albania,ALB,2010,100.0,49.5647611,34.13679133,26.04400063,1.598999977,43.90100098,19.375,27.97947124,3.710057793,3.552267388,1225744.0,81.3130004337143,2913021.0,16.72065298935484,1051676.0
37,Albania,ALB,2011,100.0,48.10245252,35.26453403,31.10300064,1.911999941,45.39300156,18.86100006,29.24150073,2.55016086,3.450347153,1271832.0,96.84529877,2905195.0,18.02201217,1094029.0
38,Albania,ALB,2012,100.0,46.82006398,35.67920024,37.03099823,1.570000052,47.43500137,16.54299927,28.93748649,1.419967541,2.03159594,1325041.0,97.24697113,2900401.0,17.4832337,1146944.0
39,Albania,ALB,2013,100.0,45.67580378,35.30690469,33.52999878,1.756000042,44.8030014,17.1989994,28.91635405,1.0007546,1.937617549,1249102.0,81.3130004337143,2895092.0,16.50327506,1053747.0
40,Albania,ALB,2014,100.0,44.71133907,34.55312462,32.22100067,1.975999951,42.88999939,17.52300072,28.21297879,1.774368743,1.631777988,1275842.0,81.3130004337143,2889104.0,18.30194096,1052702.0
41,Albania,ALB,2015,100.0,44.01664386,34.9792158,29.64999962,2.400000095,41.36600113,18.61300087,27.26738418,2.218752054,1.910016978,1333035.0,81.3130004337143,2880703.0,18.51578986,1105349.0
42,Austria,AUT,1995,100.0,49.0473809,61.014200824327816,3.407000065,4.850999832,7.335999966,32.10100174,33.53314035,2.667983666,2.250099562,3862031.0,81.3130004337143,7948278.0,24.60010617,3694082.0
43,Austria,AUT,1996,100.0,49.11947761,61.014200824327816,3.595999956,4.920000076,7.427999973,30.29800034,34.24927611,2.349535097,1.843557287,3834266.0,81.3130004337143,7959017.0,25.94003601,3631783.0
44,Austria,AUT,1997,100.0,48.83604772,61.014200824327816,3.059000015,4.922999859,6.892000198,29.6420002,37.02808274,2.093596476,1.308321332,3823947.0,81.3130004337143,7968041.0,26.79771217,3627017.0
45,Austria,AUT,1998,100.0,48.32862321,61.014200824327816,2.796999931,5.157999992,6.485000134,29.56399918,38.35102119,3.581431009,0.921274845,3858935.0,81.3130004337143,7976789.0,26.88984546,3645935.0
46,Austria,AUT,1999,100.0,47.84382836,61.014200824327816,2.801000118,4.965000153,6.232999802,29.75799942,39.35703789,3.556330241,0.56240939,3887965.0,81.3130004337143,7992324.0,26.6278222,3705262.0
47,Austria,AUT,2000,100.0,47.52972806,61.014200824327816,2.72300005,5.027999878,6.051000118,30.02499962,43.34627395,3.375721973,2.395185512,3899183.0,81.3130004337143,8011566.0,26.22507988,3716271.0
48,Austria,AUT,2001,100.0,47.32555784,61.014200824327816,2.571000099,4.912000179,5.804999828,29.36499977,44.61755552,1.267170469,2.663440722,3886923.0,81.3130004337143,8042293.0,27.96557199,3731052.0
49,Austria,AUT,2002,100.0,47.27442496,61.014200824327816,2.545000076,5.263000011,5.758999825,28.85199928,45.3193862,1.651549407,1.802101999,3972924.0,81.3130004337143,8081957.0,26.97550032,3780207.0
50,Austria,AUT,2003,100.0,47.33293386,61.014200824327816,2.130000114,5.110000134,5.504000187,28.91900063,44.57041472,0.941473312,1.355541125,3992277.0,81.3130004337143,8121423.0,26.64696993,3801405.0
